"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior"
1855,0.08672545106818,3.55112416169875,0.552635534718235,2.99848862698051,-0.0117858968641606,0.115416268935512
1856,0.0852598580463176,3.65625728909247,0.542305676590293,3.11395161250217,-0.00903889376347365,0.106350638764818
1857,0.0867123268435262,3.78359477885657,0.543702250075765,3.23989252878081,0.00122203801946919,0.116001650505969
1858,0.0915728101843172,3.96158478653097,0.563520217837633,3.39806456869333,0.017341235764208,0.145689091646392
1859,0.100041182483517,4.20843614233597,0.603802373751025,3.60463376858495,0.0352479311288822,0.190266744432043
1860,0.10778621074646,4.50096207749771,0.652032875873293,3.84892920162441,0.0422029401994316,0.225015620665734
1861,0.112298325959005,4.78466696489436,0.688398948010705,4.09626801688365,0.0318212562625355,0.227818818951451
1862,0.113732261477207,5.03018193983713,0.707007957948368,4.32317398188876,0.0162833663140994,0.208998530644388
1863,0.11446261817086,5.24500105480811,0.715445040209655,4.52955601459846,0.00738266579162101,0.190094348496991
1864,0.114970733550973,5.44525798804775,0.72135958266733,4.72389840538042,0.00517537804220805,0.179004875938069
1865,0.114185162044799,5.62478349573308,0.722233968034142,4.90254952769894,0.000765109872862466,0.164551963460721
1866,0.113465735066776,5.78526097786387,0.719358242927324,5.06590273493654,-0.00251633404946498,0.150461360889907
1867,0.112516477553604,5.93464893888482,0.71589142847177,5.21875751041305,-0.00303355255931938,0.140791466085292
1868,0.114780859448307,6.10089704935263,0.721382054259665,5.37951499509296,0.0048044399620084,0.148070492934961
1869,0.120877636353323,6.32497600885426,0.747727559745836,5.57724844910843,0.0230530005625495,0.182128316228
1870,0.130242774656648,6.62047937418345,0.794522096423729,5.82595727775972,0.0409464331943063,0.229080710792402
1871,0.136459318785372,6.94026039002805,0.840746065767698,6.09951432426035,0.0404471719796429,0.251967905580452
1872,0.140250138503858,7.23519476343421,0.870836082994571,6.36435868043964,0.0263295454483631,0.243942821378379
1873,0.139842686393276,7.48345733635302,0.882262171116055,6.60119516523696,0.00999812343819215,0.21814533313175
1874,0.13790586297219,7.67847424389623,0.877299048491061,6.80117519540517,-0.00434286101384772,0.184197592436298
1875,0.133703147576187,7.82613231968571,0.86123228324145,6.96490003644426,-0.0140588362797612,0.150803665326221
1876,0.130526435403902,7.94294535401658,0.841375970667592,7.10156938334898,-0.0173747884691592,0.12588339264934
1877,0.128546871798889,8.05856215185925,0.827857753181209,7.23070439867804,-0.0118287908911768,0.118943671039696
1878,0.126214184448721,8.16728395152162,0.815818572189085,7.35146537933253,-0.0105345956003667,0.111230515757469
1879,0.124623960396919,8.26956750712564,0.804692758198163,7.46487474892747,-0.00973537578643914,0.104459094348244
1880,0.125148989758784,8.38829720590084,0.802229469940022,7.58606773596081,-0.00215544111045594,0.111628428163188
1881,0.128653019925817,8.54796935803206,0.814763520439903,7.73320583759216,0.0109676192539353,0.135525952533083
1882,0.130093277673032,8.72190100950879,0.82909878107968,7.89280222842911,0.0125437248401452,0.14700103269792
1883,0.129323302612785,8.86786543316758,0.830642126031106,8.03722330713647,0.00135046685864937,0.133023357245084
1884,0.130529669720748,9.0121321025865,0.832860961251734,8.17927114133476,0.00194153836282177,0.13083740935586
1885,0.131735819225008,9.17067654996075,0.840897878200395,8.32977867176035,0.00703251076491628,0.138629465775194
1886,0.131607664780264,9.31892251362626,0.844259382806223,8.47466313082003,0.00294140370963259,0.133450167588139
1887,0.131387586163229,9.45481528202321,0.843742253140674,8.61107302888254,-0.000452501868945973,0.125644419527586
1888,0.130912396853821,9.58433704706379,0.842379793992841,8.74195725307094,-0.00119218708929071,0.120554832215588
1889,0.132303818521126,9.72371266614553,0.845923345314857,8.87778932083067,0.00310069930761954,0.125112191632035
1890,0.133693279451657,9.87810117276564,0.854711568256601,9.02338960450904,0.00768992299374115,0.134109499278699
1891,0.138152608516973,10.061899751147,0.872695670800813,9.18920408034621,0.0157365561380591,0.152728386002356
1892,0.145094107682753,10.301588466325,0.907334695639006,9.394253770686,0.0303100450853063,0.188867154678533
1893,0.151398698074254,10.5742952880635,0.946756434599244,9.62753885346422,0.0344950439802372,0.214874208004197
1894,0.157082874753845,10.8565297324319,0.982696665775015,9.87383306665687,0.0314486343770521,0.226856656951787
1895,0.161240591935216,11.1362901863438,1.01286618784321,10.1234239985006,0.0263991142464482,0.229893198340249
