"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior","gmsl"
1963,0.19756902421357,28.7214503172111,1.95040142470643,26.7710488925047,-0.185485380120945,-0.0588313059552476,212.303500320639
1964,0.136403161241244,27.8476858855118,1.58106411089865,26.2666217746131,-0.323179728225385,-0.464617695062106,214.667767186272
1965,0.127867570302448,27.226237298554,1.38897138789249,25.8372659106615,-0.168086114492936,-0.395471069645125,216.824070117798
1966,0.144792326876982,27.1482416093102,1.41523917192812,25.7330024373821,0.0229849922776501,-0.096034992798816,218.951352040133
1967,0.168272976267808,27.3920614153852,1.52384030627154,25.8682211091136,0.0950288090857277,0.124547204860524,221.136178134821
1968,0.173630682561936,27.6548335818553,1.5969167001427,26.0579168817126,0.0639437398498675,0.174724969181564,223.400838437438
1969,0.161061170658019,27.692979722646,1.56739176679729,26.1255879558487,-0.0258350823968148,0.0623304683121092,225.683714941455
1970,0.164651323897675,27.7198510375707,1.54295723337244,26.1768938041983,-0.0213808504484535,0.0472567872699457,227.923855104999
1971,0.177481712404966,27.9470406712986,1.59464836986785,26.3523923014307,0.04523108502636,0.161648143763193,230.176201789558
1972,0.193279358678219,28.3081364961567,1.67740072839202,26.6307357677646,0.0724104598642641,0.256376580831392,232.472171795041
1973,0.20448148299953,28.7130261779949,1.7548418474,26.9581843305949,0.0677629875423099,0.301606299735618,234.821853797854
1974,0.216763849314461,29.1384582789269,1.82414023473236,27.3143180441945,0.0606378861470446,0.328027616433876,237.209623023359
1975,0.20928079856459,29.4388549884508,1.83724055683781,27.601614431613,0.0114631215948817,0.264622936768324,239.639152294334
1976,0.212664877138551,29.6644048253386,1.8280616209531,27.8363432043855,-0.00803180695185624,0.216203961884851,242.04323919276
1977,0.22975844166978,30.0805918807201,1.89526669111709,28.185325189603,0.058806179335214,0.321440302947418,244.458831958338
1978,0.258081695685415,30.7322117309844,2.03220967862996,28.7000020523544,0.119828665645783,0.474058529352843,246.932542843322
1979,0.291335015511631,31.5958463677468,2.21541673995803,29.3804296277888,0.160310930077847,0.626728184393506,249.502552791959
1980,0.321716246759721,32.576737924061,2.4045467153183,30.1721912087427,0.165493633464876,0.729275702541887,252.185624028005
1981,0.346556434224561,33.5812868142898,2.57053744313117,31.0107493711586,0.145246191752009,0.772379094577063,254.971991450294
